time,frame_id,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1695706644.7500923,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.7709408,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.7899733,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.8097744,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.8290198,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.8490093,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.8706493,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.8933985,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.909443,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.9301243,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.9493701,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.9741583,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706644.989679,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.009458,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.0300128,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.0501258,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.069479,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.0918908,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.1121078,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.1301966,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.1509938,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.171335,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.1895807,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.2111106,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.2293174,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.249267,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.2710564,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.2894905,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.3096294,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.3292289,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.3501396,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.3696048,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.3897,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.4095259,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.4313273,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.4496458,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.4690974,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.491006,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.5102842,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.5346758,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.5689197,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.5735745,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.5907364,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.6101618,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.630803,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.649219,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.6710398,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.690964,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.710737,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.7303562,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.749448,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.7740238,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.7896497,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.8093631,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.8296902,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.8495162,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.874252,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.8899386,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.9094787,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.929726,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.9493794,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.9696019,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706645.990353,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.0109878,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.0294733,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.0496166,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.0706704,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.090026,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.10964,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.130861,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.1505885,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.1710887,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.191341,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.2092571,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.2292426,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.2495346,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.2700725,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.289923,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.309514,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.3332708,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.3496425,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.3693857,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.3896694,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.417493,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.4292572,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.4503026,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.469896,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.489599,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.5099573,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.5293903,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.549582,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.5693867,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.589254,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.6092155,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.6292892,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.6492422,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.6693017,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.689242,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.7096224,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.7296574,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.7492528,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.769628,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.7895117,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.809409,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.8292336,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.84925,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.8695455,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.8895822,map,0.0,0.0,0.0,0.0,0.0,0.0
1695706646.909501,map,0.0,0.0,0.0,0.0,0.0,0.0
